SubjectID,StimulusType,response,RT
090012,1,1,493
090012,1,1,492
090012,1,1,475
090012,1,1,475
090012,1,1,528
090012,0,0,0
090012,1,1,460
090012,1,1,525
090012,1,1,460
090012,1,1,509
090012,1,1,460
090012,0,0,0
090012,1,1,409
090012,1,1,492
090012,0,0,0
090012,0,0,0
090012,1,1,459
090012,1,1,578
090012,0,0,0
090012,1,1,458
090012,1,1,458
090012,0,0,0
090012,0,0,0
090012,1,1,409
090012,1,1,511
090012,1,1,477
090012,1,1,442
090012,1,1,458
090012,1,1,611
090012,1,1,407
090012,1,1,409
090012,0,0,0
090012,1,1,375
090012,1,1,442
090012,1,1,392
090012,1,1,460
090012,1,1,374
090012,1,1,341
090012,1,1,390
090012,0,0,0
090012,1,1,410
090012,1,1,425
090012,1,1,407
090012,1,1,526
090012,0,0,0
090012,1,1,324
090012,1,1,323
090012,1,1,322
090012,0,0,0
090012,1,1,256
090012,1,1,357
090012,0,1,342
090012,1,1,358
090012,1,1,444
090012,1,1,409
090012,1,1,407
090012,0,0,0
090012,1,1,340
090012,1,1,373
090012,1,1,408
090012,1,1,391
090012,1,1,407
090012,1,1,407
090012,1,1,408
090012,1,1,390
090012,1,1,357
090012,1,1,460
090012,1,1,440
090012,0,0,0
090012,1,1,290
090012,0,0,0
090012,0,0,0
090012,1,1,375
090012,1,1,390
090012,1,1,544
090012,1,1,424
090012,1,1,476
090012,1,1,442
090012,1,1,442
090012,1,1,579
090012,0,0,0
090012,1,1,375
090012,1,1,392
090012,1,1,408
090012,0,0,0
090012,1,1,305
090012,1,1,409
090012,1,1,407
090012,1,1,408
090012,1,1,356
090012,1,1,391
090012,0,0,0
090012,0,0,0
090012,1,1,457
090012,1,1,457
090012,1,1,424
090012,1,1,459
090012,1,1,459
090012,1,1,441
090012,1,1,507
