SubjectID;StimulusType;response;RT,SubjectID
1;1;1;334,050004
1;1;1;399,050004
1;1;1;273,050004
1;1;1;340,050004
1;1;1;339,050004
1;1;1;218,050004
1;1;1;253,050004
1;1;1;297,050004
1;1;1;321,050004
1;1;1;333,050004
1;1;1;298,050004
1;1;1;234,050004
1;1;1;85,050004
1;1;1;235,050004
1;1;1;253,050004
1;0;1;200,050004
1;1;1;336,050004
1;0;1;288,050004
1;1;1;415,050004
1;1;1;382,050004
1;0;1;267,050004
1;1;1;318,050004
1;1;1;419,050004
1;1;1;368,050004
1;1;1;316,050004
1;1;1;350,050004
1;0;0;0,050004
1;1;1;317,050004
1;1;1;382,050004
1;1;1;334,050004
1;1;1;318,050004
1;1;1;301,050004
1;1;1;318,050004
1;1;1;298,050004
1;1;1;302,050004
1;1;1;118,050004
1;1;1;333,050004
1;0;1;199,050004
1;0;1;302,050004
1;1;1;401,050004
1;0;1;331,050004
1;1;1;369,050004
1;1;1;347,050004
1;1;1;501,050004
1;1;1;299,050004
1;1;1;561,050004
1;1;1;305,050004
1;1;1;305,050004
1;1;1;306,050004
1;1;1;578,050004
1;1;1;543,050004
1;0;0;0,050004
1;0;0;0,050004
1;1;1;435,050004
1;1;1;267,050004
1;0;0;0,050004
1;1;1;367,050004
1;0;1;331,050004
1;1;1;632,050004
1;1;1;332,050004
1;1;1;385,050004
1;0;1;398,050004
1;1;1;318,050004
1;1;1;665,050004
1;0;1;16,050004
1;1;1;582,050004
1;1;1;383,050004
1;1;1;301,050004
1;1;1;300,050004
1;0;0;0,050004
1;1;1;302,050004
1;0;0;0,050004
1;1;1;301,050004
1;1;1;435,050004
1;1;1;302,050004
1;1;1;297,050004
1;0;0;0,050004
1;0;1;285,050004
1;1;1;568,050004
1;1;1;285,050004
1;1;1;284,050004
1;1;1;317,050004
1;1;1;368,050004
1;1;1;333,050004
1;1;1;318,050004
1;1;1;318,050004
1;1;1;285,050004
1;0;1;281,050004
1;1;1;384,050004
1;1;1;317,050004
1;1;1;299,050004
1;1;1;267,050004
1;1;1;317,050004
1;1;1;318,050004
1;0;0;0,050004
1;1;1;301,050004
1;1;1;301,050004
1;1;1;289,050004
1;0;0;0,050004
1;1;1;319,050004
