Unnamed: 0,SubjectID,StimulusType,response,RT
0,110004,1,1,346
1,110004,0,0,0
2,110004,1,1,296
3,110004,1,1,345
4,110004,1,1,295
5,110004,1,1,331
6,110004,1,1,361
7,110004,1,1,281
8,110004,0,0,0
9,110004,0,0,0
10,110004,1,1,315
11,110004,1,1,316
12,110004,1,1,361
13,110004,1,1,331
14,110004,1,1,313
15,110004,1,1,310
16,110004,1,1,295
17,110004,1,1,300
18,110004,1,1,429
19,110004,1,1,463
20,110004,1,1,312
21,110004,1,1,315
22,110004,0,1,332
23,110004,1,1,315
24,110004,1,1,315
25,110004,1,1,317
26,110004,1,1,334
27,110004,0,0,0
28,110004,1,1,364
29,110004,1,1,281
30,110004,1,1,265
31,110004,0,0,0
32,110004,0,0,0
33,110004,1,1,396
34,110004,1,1,314
35,110004,1,1,284
36,110004,0,0,0
37,110004,1,1,266
38,110004,1,1,332
39,110004,0,0,0
40,110004,1,1,288
41,110004,1,1,349
42,110004,1,1,314
43,110004,1,1,315
44,110004,1,1,296
45,110004,1,1,334
46,110004,1,1,315
47,110004,1,1,380
48,110004,1,1,297
49,110004,1,1,296
50,110004,1,1,297
51,110004,0,0,0
52,110004,1,1,314
53,110004,1,1,315
54,110004,1,1,332
55,110004,1,1,314
56,110004,1,1,319
57,110004,0,0,0
58,110004,1,1,414
59,110004,0,0,0
60,110004,1,1,297
61,110004,0,0,0
62,110004,0,0,0
63,110004,1,1,296
64,110004,1,1,313
65,110004,1,1,265
66,110004,1,1,264
67,110004,1,1,283
68,110004,1,1,264
69,110004,1,1,283
70,110004,0,0,0
71,110004,1,1,265
72,110004,1,1,297
73,110004,1,1,249
74,110004,1,1,249
75,110004,1,1,248
76,110004,1,1,246
77,110004,1,1,280
78,110004,1,1,264
79,110004,0,0,0
80,110004,1,1,295
81,110004,1,1,281
82,110004,0,0,0
83,110004,1,1,249
84,110004,0,0,0
85,110004,1,1,263
86,110004,1,1,249
87,110004,1,1,267
88,110004,1,1,267
89,110004,0,0,0
90,110004,1,1,351
91,110004,1,1,267
92,110004,1,1,329
93,110004,0,0,0
94,110004,1,1,314
95,110004,1,1,330
96,110004,1,1,299
97,110004,1,1,266
98,110004,1,1,250
99,110004,1,1,281
