Unnamed: 0,SubjectID,StimulusType,response,RT
0,110005,1,1,840
1,110005,1,1,500
2,110005,1,1,286
3,110005,0,1,222
4,110005,1,1,522
5,110005,1,1,304
6,110005,1,1,235
7,110005,1,1,85
8,110005,1,1,69
9,110005,1,1,269
10,110005,1,1,237
11,110005,1,1,188
12,110005,1,1,270
13,110005,1,1,238
14,110005,1,1,222
15,110005,1,1,237
16,110005,1,1,248
17,110005,0,1,220
18,110005,1,0,0
19,110005,1,1,352
20,110005,1,1,955
21,110005,0,0,0
22,110005,1,0,0
23,110005,1,1,600
24,110005,1,1,304
25,110005,1,1,565
26,110005,1,1,418
27,110005,1,1,403
28,110005,1,1,484
29,110005,1,1,454
30,110005,1,1,399
31,110005,1,1,470
32,110005,0,0,0
33,110005,1,1,402
34,110005,1,1,466
35,110005,1,1,390
36,110005,1,1,314
37,110005,1,1,354
38,110005,0,0,0
39,110005,0,1,488
40,110005,0,0,0
41,110005,1,1,553
42,110005,0,0,0
43,110005,1,1,421
44,110005,0,0,0
45,110005,1,1,519
46,110005,1,1,387
47,110005,0,0,0
48,110005,1,1,520
49,110005,1,1,467
50,110005,1,1,570
51,110005,0,0,0
52,110005,1,1,724
53,110005,0,0,0
54,110005,1,1,419
55,110005,1,1,438
56,110005,1,1,375
57,110005,1,1,616
58,110005,1,1,504
59,110005,1,1,372
60,110005,1,1,386
61,110005,1,1,305
62,110005,1,1,336
63,110005,1,1,384
64,110005,1,1,367
65,110005,1,1,284
66,110005,0,0,0
67,110005,1,1,420
68,110005,1,1,334
69,110005,0,0,0
70,110005,1,1,403
71,110005,1,1,490
72,110005,1,1,653
73,110005,1,1,424
74,110005,1,1,468
75,110005,0,0,0
76,110005,1,1,402
77,110005,0,0,0
78,110005,0,0,0
79,110005,1,1,554
80,110005,1,1,761
81,110005,1,1,283
82,110005,1,1,350
83,110005,1,1,336
84,110005,0,1,354
85,110005,1,1,671
86,110005,1,1,704
87,110005,0,0,0
88,110005,1,1,451
89,110005,1,1,451
90,110005,1,1,398
91,110005,1,1,551
92,110005,1,1,538
93,110005,0,0,0
94,110005,1,1,404
95,110005,1,1,419
96,110005,1,1,353
97,110005,1,1,365
98,110005,1,1,404
99,110005,1,1,453
