Unnamed: 0,SubjectID,StimulusType,response,RT
0,110001,1,1,595
1,110001,1,1,371
2,110001,1,1,388
3,110001,1,1,353
4,110001,1,1,404
5,110001,1,1,322
6,110001,1,1,288
7,110001,0,1,307
8,110001,1,1,481
9,110001,1,1,401
10,110001,1,1,371
11,110001,1,1,562
12,110001,1,1,434
13,110001,0,0,0
14,110001,1,0,0
15,110001,1,1,496
16,110001,1,1,404
17,110001,1,1,353
18,110001,1,1,370
19,110001,0,1,273
20,110001,1,1,546
21,110001,1,1,354
22,110001,1,1,337
23,110001,1,1,307
24,110001,0,0,0
25,110001,0,1,0
26,110001,1,1,530
27,110001,0,0,0
28,110001,1,0,0
29,110001,1,1,595
30,110001,1,1,578
31,110001,0,1,501
32,110001,1,1,17
33,110001,1,1,0
34,110001,1,1,0
35,110001,1,1,643
36,110001,1,1,433
37,110001,1,1,403
38,110001,1,1,387
39,110001,1,1,434
40,110001,1,1,418
41,110001,1,1,384
42,110001,1,1,372
43,110001,0,0,0
44,110001,1,0,0
45,110001,1,0,0
46,110001,0,0,0
47,110001,0,0,0
48,110001,1,0,0
49,110001,1,1,498
50,110001,1,1,387
51,110001,1,1,402
52,110001,1,1,417
53,110001,1,1,483
54,110001,1,1,385
55,110001,1,1,387
56,110001,0,0,0
57,110001,1,0,0
58,110001,1,1,481
59,110001,1,1,466
60,110001,1,1,416
61,110001,1,1,627
62,110001,0,0,0
63,110001,1,0,0
64,110001,1,1,482
65,110001,1,1,452
66,110001,1,1,256
67,110001,1,1,338
68,110001,1,1,354
69,110001,0,1,288
70,110001,1,1,596
71,110001,0,0,0
72,110001,1,0,0
73,110001,1,1,706
74,110001,1,1,499
75,110001,1,1,513
76,110001,1,1,482
77,110001,0,0,0
78,110001,1,0,0
79,110001,1,1,578
80,110001,1,1,418
81,110001,0,0,0
82,110001,0,0,0
83,110001,1,1,789
84,110001,0,0,0
85,110001,1,0,0
86,110001,0,0,0
87,110001,1,0,0
88,110001,1,1,515
89,110001,1,1,402
90,110001,1,1,432
91,110001,1,1,403
92,110001,0,0,0
93,110001,1,1,562
94,110001,1,1,387
95,110001,1,1,416
96,110001,1,1,370
97,110001,1,1,610
98,110001,1,1,388
99,110001,1,1,403
