Unnamed: 0,SubjectID,StimulusType,response,RT
0,110002,1,1,404
1,110002,1,1,354
2,110002,0,0,0
3,110002,0,0,0
4,110002,1,1,483
5,110002,0,0,0
6,110002,1,0,0
7,110002,0,0,0
8,110002,0,0,0
9,110002,1,1,387
10,110002,1,1,369
11,110002,1,1,403
12,110002,1,1,384
13,110002,1,1,434
14,110002,1,1,418
15,110002,1,1,338
16,110002,1,1,323
17,110002,1,1,401
18,110002,1,1,371
19,110002,0,0,0
20,110002,1,0,0
21,110002,1,1,787
22,110002,1,1,372
23,110002,1,1,433
24,110002,1,1,354
25,110002,1,1,386
26,110002,1,1,400
27,110002,1,1,436
28,110002,0,1,416
29,110002,1,1,562
30,110002,1,1,368
31,110002,1,1,419
32,110002,0,0,0
33,110002,1,1,418
34,110002,0,1,372
35,110002,1,1,419
36,110002,1,1,369
37,110002,1,1,404
38,110002,1,1,369
39,110002,1,1,338
40,110002,1,1,339
41,110002,1,1,369
42,110002,1,1,354
43,110002,1,1,418
44,110002,1,1,353
45,110002,1,1,338
46,110002,1,1,352
47,110002,1,1,354
48,110002,1,1,387
49,110002,1,1,400
50,110002,1,1,403
51,110002,0,0,0
52,110002,0,0,0
53,110002,1,0,0
54,110002,1,1,531
55,110002,1,1,548
56,110002,1,1,563
57,110002,0,1,613
58,110002,1,1,483
59,110002,1,1,561
60,110002,1,1,755
61,110002,1,1,498
62,110002,1,1,758
63,110002,1,1,386
64,110002,0,1,370
65,110002,1,1,788
66,110002,1,1,803
67,110002,1,1,480
68,110002,1,1,387
69,110002,1,1,338
70,110002,1,1,289
71,110002,1,1,339
72,110002,0,0,0
73,110002,1,0,0
74,110002,1,1,530
75,110002,0,0,0
76,110002,1,0,0
77,110002,1,1,627
78,110002,1,1,400
79,110002,1,1,419
80,110002,1,1,401
81,110002,1,1,402
82,110002,1,1,404
83,110002,0,0,0
84,110002,1,0,0
85,110002,1,1,498
86,110002,1,1,355
87,110002,1,1,482
88,110002,0,1,436
89,110002,0,1,16
90,110002,1,0,0
91,110002,1,1,482
92,110002,1,1,419
93,110002,1,1,354
94,110002,1,1,707
95,110002,0,1,401
96,110002,1,1,16
97,110002,0,1,0
98,110002,1,0,0
99,110002,1,1,482
