SubjectID,StimulusType,response,RT
090005,1,1,405
090005,1,1,390
090005,1,1,269
090005,1,1,315
090005,0,0,0
090005,1,1,285
090005,1,1,283
090005,1,1,320
090005,1,1,349
090005,1,1,285
090005,1,1,265
090005,0,0,0
090005,1,1,333
090005,1,1,299
090005,1,1,286
090005,0,0,0
090005,1,1,298
090005,1,1,298
090005,1,1,331
090005,1,1,334
090005,1,1,283
090005,1,1,318
090005,1,1,333
090005,1,1,335
090005,1,1,314
090005,1,1,334
090005,1,1,348
090005,1,1,368
090005,1,1,333
090005,0,0,0
090005,1,1,334
090005,1,1,285
090005,1,1,300
090005,1,1,318
090005,1,1,250
090005,1,1,298
090005,1,1,282
090005,1,1,301
090005,1,1,284
090005,1,1,255
090005,1,1,289
090005,1,1,285
090005,1,1,250
090005,1,1,252
090005,1,1,302
090005,0,0,0
090005,1,1,283
090005,1,1,267
090005,0,1,234
090005,1,1,301
090005,1,1,350
090005,1,1,367
090005,1,1,316
090005,1,1,284
090005,0,0,0
090005,1,1,305
090005,1,1,305
090005,1,1,305
090005,1,1,306
090005,1,1,323
090005,0,0,0
090005,1,1,300
090005,1,1,284
090005,1,1,302
090005,1,1,284
090005,1,1,301
090005,1,1,281
090005,1,1,317
090005,1,1,366
090005,1,1,464
090005,0,0,0
090005,1,1,285
090005,0,0,0
090005,1,1,266
090005,1,1,340
090005,0,0,0
090005,0,0,0
090005,1,1,366
090005,0,0,0
090005,1,1,335
090005,1,1,337
090005,1,1,350
090005,0,0,0
090005,1,1,303
090005,0,0,0
090005,1,1,266
090005,1,1,302
090005,1,1,266
090005,0,0,0
090005,1,1,249
090005,1,1,265
090005,1,1,297
090005,0,0,0
090005,1,1,335
090005,1,1,268
090005,0,0,0
090005,1,1,298
090005,1,1,300
090005,0,0,0
090005,0,0,0
