SubjectID,StimulusType,response,RT
040002,1,1,476
040002,1,1,374
040002,1,1,340
040002,0,0,0
040002,1,1,374
040002,1,1,374
040002,1,1,390
040002,1,1,407
040002,0,0,0
040002,1,1,323
040002,1,1,374
040002,0,0,0
040002,1,1,356
040002,1,1,390
040002,1,1,373
040002,0,0,0
040002,1,1,373
040002,0,0,0
040002,1,1,358
040002,1,1,374
040002,1,1,374
040002,0,0,0
040002,0,0,0
040002,1,1,424
040002,1,1,374
040002,1,1,374
040002,1,1,373
040002,1,1,355
040002,1,1,340
040002,1,1,391
040002,1,1,339
040002,1,1,340
040002,0,0,0
040002,1,1,323
040002,1,1,340
040002,1,1,306
040002,1,1,323
040002,0,0,0
040002,0,0,0
040002,1,1,391
040002,1,1,340
040002,1,1,306
040002,1,1,289
040002,1,1,289
040002,1,1,322
040002,1,1,305
040002,1,1,322
040002,1,1,323
040002,1,1,358
040002,0,0,0
040002,1,1,408
040002,0,0,0
040002,1,1,374
040002,1,1,357
040002,1,1,340
040002,1,1,391
040002,1,1,373
040002,1,1,339
040002,0,0,0
040002,1,1,323
040002,1,1,323
040002,1,1,340
040002,1,1,374
040002,1,1,357
040002,1,1,357
040002,1,1,357
040002,1,1,425
040002,1,1,340
040002,1,1,391
040002,0,0,0
040002,1,1,374
040002,1,1,374
040002,1,1,340
040002,1,1,340
040002,0,0,0
040002,0,0,0
040002,1,1,340
040002,1,1,340
040002,1,1,340
040002,1,1,323
040002,1,1,357
040002,1,1,306
040002,1,1,323
040002,0,0,0
040002,1,1,339
040002,1,1,288
040002,1,1,390
040002,0,0,0
040002,1,1,357
040002,1,1,374
040002,1,1,357
040002,1,1,408
040002,0,0,0
040002,1,1,441
040002,1,1,340
040002,1,1,323
040002,0,0,0
040002,1,1,459
040002,1,1,357
040002,1,1,340
